zone,state,lga,sector,ea,hhid,pnumber_id,nbhhme,s1q13,s1q15,s1q15_os
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,2,2,1. YES,2. SPOUSE,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,3,3,1. YES,3. OWN CHILD,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,4,,2. NO,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,5,,2. NO,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,2,2,1. YES,2. SPOUSE,
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,3,3,1. YES,2. SPOUSE,
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,4,,2. NO,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,5,,2. NO,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,1,2,1. YES,2. SPOUSE,
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,2,,2. NO,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,2,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79092,1,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79092,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,2,2,1. YES,2. SPOUSE,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,3,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,4,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,1,5,1. YES,3. OWN CHILD,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,2,2,1. YES,2. SPOUSE,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,3,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,1,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,3,1,1. YES,1. HEAD,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,2,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,3,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,1,,2. NO,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79108,1,6,1. YES,3. OWN CHILD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,1,101,1. YES,3. OWN CHILD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,2,4,1. YES,7. BROTHER/SISTER,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,2,,2. NO,,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,3,3,1. YES,3. OWN CHILD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,1,6,1. YES,3. OWN CHILD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,3,11,1. YES,3. OWN CHILD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,4,,2. NO,,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,2,2,1. YES,2. SPOUSE,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,3,9,1. YES,3. OWN CHILD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,4,,2. NO,,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,1,401,1. YES,8. NIECE/NEPHEW,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,3,,2. NO,,
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,3,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,2,3,1. YES,3. OWN CHILD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,3,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,4,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,5,3,1. YES,3. OWN CHILD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79134,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79134,2,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79134,3,1,1. YES,1. HEAD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79138,1,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79138,2,1,1. YES,1. HEAD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79142,1,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79142,2,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79142,3,,2. NO,,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79143,1,1,1. YES,1. HEAD,
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79143,2,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80012,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80012,2,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80012,3,6,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80012,4,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80012,5,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80013,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80013,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80013,3,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80013,4,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80015,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80015,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80019,1,4,1. YES,3. OWN CHILD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80019,2,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80020,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80020,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80020,3,,2. NO,,
2. North East,8. Borno,805. BIU,2. Rural,46,80092,1,1,1. YES,1. HEAD,
2. North East,8. Borno,805. BIU,2. Rural,46,80092,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,805. BIU,2. Rural,46,80092,3,,2. NO,,
2. North East,8. Borno,805. BIU,2. Rural,46,80095,1,1,1. YES,1. HEAD,
2. North East,8. Borno,805. BIU,2. Rural,46,80095,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,805. BIU,2. Rural,46,80095,3,,2. NO,,
2. North East,8. Borno,805. BIU,2. Rural,46,80095,4,,2. NO,,
2. North East,8. Borno,805. BIU,2. Rural,46,80100,1,4,1. YES,3. OWN CHILD,
2. North East,8. Borno,805. BIU,2. Rural,46,80100,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,805. BIU,2. Rural,46,80100,3,,2. NO,,
2. North East,8. Borno,805. BIU,2. Rural,46,80100,4,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80103,1,1,1. YES,1. HEAD,
2. North East,8. Borno,827. SHANI,2. Rural,804,80103,2,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80103,3,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80104,1,1,1. YES,1. HEAD,
2. North East,8. Borno,827. SHANI,2. Rural,804,80104,2,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80104,3,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80107,1,1,1. YES,1. HEAD,
2. North East,8. Borno,827. SHANI,2. Rural,804,80107,2,9,1. YES,2. SPOUSE,
2. North East,8. Borno,827. SHANI,2. Rural,804,80107,3,2,1. YES,2. SPOUSE,
2. North East,8. Borno,827. SHANI,2. Rural,804,80107,4,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80107,5,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80108,1,1,1. YES,1. HEAD,
2. North East,8. Borno,827. SHANI,2. Rural,804,80108,2,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80108,3,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80109,1,1,1. YES,1. HEAD,
2. North East,8. Borno,827. SHANI,2. Rural,804,80110,1,2,1. YES,1. HEAD,
2. North East,8. Borno,827. SHANI,2. Rural,804,80110,2,,2. NO,,
2. North East,8. Borno,827. SHANI,2. Rural,804,80110,3,101,1. YES,3. OWN CHILD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89006,1,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89006,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89006,3,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89009,1,4,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89009,2,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89010,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89010,2,4,1. YES,3. OWN CHILD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89010,3,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89010,4,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89010,5,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,12,89010,6,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89015,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89015,2,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89015,3,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89017,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89017,2,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89020,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89020,2,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89020,3,3,1. YES,3. OWN CHILD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89020,4,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89021,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89021,2,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89021,3,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89021,4,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89021,5,,2. NO,,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89028,1,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89028,2,1,1. YES,1. HEAD,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89028,3,2,1. YES,2. SPOUSE,
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1628,89028,4,,2. NO,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90002,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90002,2,9,1. YES,2. SPOUSE,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90002,3,,2. NO,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90002,4,,2. NO,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90003,1,3,1. YES,1. HEAD,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90003,2,4,1. YES,7. BROTHER/SISTER,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,278,90003,3,,2. NO,,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90025,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90025,2,1,1. YES,1. HEAD,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90025,3,,2. NO,,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90025,4,,2. NO,,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90025,5,101,1. YES,3. OWN CHILD,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90028,1,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,915. ODUKPANI,1. Urban,1390,90029,1,,2. NO,,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90091,1,6,1. YES,1. HEAD,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90091,2,,2. NO,,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90093,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90093,2,7,1. YES,3. OWN CHILD,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90093,3,,2. NO,,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90093,4,,2. NO,,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90100,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90100,2,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,918. YALLA,2. Rural,834,90100,3,,2. NO,,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99005,1,6,1. YES,2. SPOUSE,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99005,2,,2. NO,,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99005,3,5,1. YES,1. HEAD,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99006,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99006,2,1,1. YES,1. HEAD,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99006,3,1,1. YES,1. HEAD,
5. South South,9. Cross River,905. BEKWARRA,2. Rural,2128,99006,4,,2. NO,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,78,99016,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,78,99016,2,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,78,99016,3,,2. NO,,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,78,99020,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,908. CALABAR MUNICIPAL,1. Urban,78,99020,2,,2. NO,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99026,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99026,2,,2. NO,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99026,3,,2. NO,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99031,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99031,2,,2. NO,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99032,1,3,1. YES,3. OWN CHILD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99032,2,3,1. YES,3. OWN CHILD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99032,3,4,1. YES,8. NIECE/NEPHEW,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99032,4,,2. NO,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99032,5,1,1. YES,1. HEAD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99033,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99033,2,2,1. YES,3. OWN CHILD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99033,3,,2. NO,,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99033,4,1,1. YES,1. HEAD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99035,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99035,2,2,1. YES,7. BROTHER/SISTER,
5. South South,9. Cross River,909. CALABAR SOUTH,1. Urban,506,99035,3,,2. NO,,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99037,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99037,2,,2. NO,,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99037,3,,2. NO,,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99040,1,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99040,2,5,1. YES,3. OWN CHILD,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99046,1,2,1. YES,3. OWN CHILD,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99046,2,,2. NO,,
5. South South,9. Cross River,910. ETUNG,2. Rural,370,99046,3,,2. NO,,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99061,1,2,1. YES,3. OWN CHILD,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99061,2,1,1. YES,1. HEAD,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99061,3,,2. NO,,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99061,4,,2. NO,,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99062,1,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99062,2,,2. NO,,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99068,1,1,1. YES,3. OWN CHILD,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99068,2,,2. NO,,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99068,3,2,1. YES,1. HEAD,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99070,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99070,2,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,913. OBUBRA,2. Rural,1510,99070,3,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99074,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99074,2,2,1. YES,2. SPOUSE,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99074,3,,2. NO,,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99075,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99075,2,,2. NO,,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99075,3,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99077,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99077,2,,2. NO,,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99077,3,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99080,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99080,2,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99080,3,,2. NO,,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99080,4,101,1. YES,3. OWN CHILD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99081,1,2,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99081,2,4,1. YES,3. OWN CHILD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99081,3,,2. NO,,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99082,1,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99082,2,1,1. YES,1. HEAD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99082,3,5,1. YES,3. OWN CHILD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99082,4,6,1. YES,3. OWN CHILD,
5. South South,9. Cross River,917. YAKURR-UGEP NORTH,2. Rural,2282,99082,5,,2. NO,,
5. South South,10. Delta,1008. IKA SOUTH,2. Rural,1314,100037,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1008. IKA SOUTH,2. Rural,1314,100037,2,2,1. YES,3. OWN CHILD,
5. South South,10. Delta,1008. IKA SOUTH,2. Rural,1314,100037,3,,2. NO,,
5. South South,10. Delta,1008. IKA SOUTH,2. Rural,1314,100038,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1008. IKA SOUTH,2. Rural,1314,100038,2,6,1. YES,14. OTHER RELATION (SPECIFY),DAUGHTER-IN-LAW
5. South South,10. Delta,1008. IKA SOUTH,2. Rural,1314,100038,3,,2. NO,,
5. South South,10. Delta,1018. UDU,1. Urban,634,100113,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1018. UDU,1. Urban,634,100113,2,2,1. YES,2. SPOUSE,
5. South South,10. Delta,1018. UDU,1. Urban,634,100113,3,,2. NO,,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100131,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100131,2,2,1. YES,2. SPOUSE,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100131,3,6,1. YES,3. OWN CHILD,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100131,4,,2. NO,,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100132,1,8,1. YES,3. OWN CHILD,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100132,2,2,1. YES,1. HEAD,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100132,3,,2. NO,,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100136,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1025. WARRI SOUTH WEST,2. Rural,1774,100136,2,,2. NO,,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109005,1,5,1. YES,3. OWN CHILD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109005,2,,2. NO,,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109005,3,2,1. YES,1. HEAD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109006,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109006,2,2,1. YES,2. SPOUSE,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109006,3,,2. NO,,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109007,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109007,2,1,1. YES,1. HEAD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109007,3,,2. NO,,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109012,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109012,2,6,1. YES,3. OWN CHILD,
5. South South,10. Delta,1002. ANIOCHA SOUTH,1. Urban,114,109012,3,,2. NO,,
5. South South,10. Delta,1006. ETHIOPE WEST,2. Rural,474,109019,1,402,2. NO,,
5. South South,10. Delta,1006. ETHIOPE WEST,2. Rural,474,109019,2,,2. NO,,
5. South South,10. Delta,1007. IKA NORTH-EAST,1. Urban,1026,109038,1,8,1. YES,3. OWN CHILD,
5. South South,10. Delta,1007. IKA NORTH-EAST,1. Urban,1026,109038,2,1,1. YES,1. HEAD,
5. South South,10. Delta,1007. IKA NORTH-EAST,1. Urban,1026,109038,3,,2. NO,,
5. South South,10. Delta,1007. IKA NORTH-EAST,1. Urban,1026,109040,1,1,1. YES,1. HEAD,
5. South South,10. Delta,1007. IKA NORTH-EAST,1. Urban,1026,109040,2,2,1. YES,2. SPOUSE,
5. South South,10. Delta,1007. IKA NORTH-EAST,1. Urban,1026,109040,3,,2. NO,,
5. South South,10. Delta,1012. NDOKWA WEST,2. Rural,428,109049,1,2,1. YES,2. SPOUSE,
5. South South,10. Delta,1012. NDOKWA WEST,2. Rural,428,109049,2,1,1. YES,1. HEAD,
5. South South,10. Delta,1012. NDOKWA WEST,2. Rural,428,109049,3,,2. NO,,
5. South South,10. Delta,1012. NDOKWA WEST,2. Rural,428,109055,1,1,1. YES,1. HEAD,
