zone,state,lga,sector,ea,hhid,baseline_date,interviewer_id,wt_round2,s2q0a,s2q0b,s5q1e,s5q1f,s5q1f_os,s5q1a,s5q1a1,s5q1a1_os,s5q1b,s5q1b1,s5q1b1_os,s5q1c,s5q1d,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8d__1,s6q8d__2,s6q8d__3,s6q8d__4,s6q8e,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q12,s6q13,s6q14,s6q14_os,s6q15__1,s6q15__2,s6q15__3,s6q15__4,s6q15__5,s6q15__6,s6q15__96,s6q15_os,s6q15a,s6q15b__1,s6q15b__2,s6q15b__3,s6q15b__4,s6q15b__5,s6q15b__6,s6q15b__96,s6q15b_os,s6q16,s6q17,s6q18_1,s6q18_2,s6q18_3,s6q18_os,s6q19,s6q20__1,s6q20__2,s6q20__3,s6q20__4,s6q20__5,s6q20__6,s6q20__7,s6q20__96,s6q20_os,s6q21a__1,s6q21a__2,s6q21a__3,s6q21a__4,s6q21a__5,s6q21a__6,s6q21a__7,s6q21a__8,s6q21a__96,s6q21a_os,s6q21b__1,s6q21b__2,s6q21b__3,s6q21b__4,s6q21b__5,s6q21b__6,s6q21b__7,s6q21b__8,s6q21b__96,s6q21b_os,s6q22__1,s6q22__2,s6q22__3,s6q22__4,s6q22__5,s6q22__6,s6q22__96,s6q22_os,s6q23,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10a,s12q10_os,s12q11,s12q14
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159039,April 27,4,2294.666498334559,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,1. YES,1. YES,1,0,1,1,1,1,1,0,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"2. MINING, MANUFACTURING",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,1. YES,1,1,1,1,1,0,0,,1. YES,,1080. MAIZE,1010. BEANS/COWPEA,1100. MILLET/MAIWA,,1. YES,0,1,0,0,1,0,0,0,,1,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-03T19:49:14
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159040,May 03,12,3076.07152518639,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,5. None of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,3. Permanently closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,,,,,,,,,,,,,,,1. YES,,2040. BEENI-SEED/SESAME,9999. OTHER CROP (SPECIFY),1080. MAIZE,BAMBARA NUTS,1. YES,0,0,0,0,1,0,0,0,,1,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,3,2020-06-05T12:36:37
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159042,May 05,13,,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",2. The same,,,1. YES,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1010. BEANS/COWPEA,1070. GUINEA CORN (SORGHUM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. PARTIALLY COMPLETE,1,3. HAUSA,1. YES,,1,2020-06-07T11:12:41
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159043,April 30,4,2621.55906533154,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,2. NO,,,,1. YES,1. YES,1,1,0,1,1,0,1,0,,1. YES,1,1,1,1,0,0,0,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. YES,2,6,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-02T11:49:13
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159045,April 27,12,2767.5450640543813,2. NO,2. NO,"1. YES, AT LEAST ONCE",2. WATER SUPPLY REDUCED,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",5. As an employee for the government,1. YES,,,,6,2. Same number of hours,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,96. OTHER (SPECIFY),THERE IS SO MUCH RESPONSILITY ON HIS HEAD,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,1100. MILLET/MAIWA,1070. GUINEA CORN (SORGHUM),1060. GROUND NUT/PEANUTS,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-03T10:55:59
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159048,May 07,13,3162.107698540708,2. NO,2. NO,"1. YES, AT LEAST ONCE",96. OTHER (SPECIFY),LACK OF LIGHT TO PUMP THE WATER,1. YES,,,1. YES,,,2. Most of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,5. As an employee for the government,1. YES,,,,40,1. More hours,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",2. The same,,,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,1. YES,INABILITY TO GET GOOODS AT THE RIGHT TIME BECAUSE OF LOCKDOWN,1. YES,1,1,1,0,0,0,0,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,1080. MAIZE,1010. BEANS/COWPEA,1060. GROUND NUT/PEANUTS,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,0,1,0,,0,0,0,1,0,0,0,,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,0,0,0,0,0,0,1,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-04T19:22:18
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159050,April 27,19,2433.16963047348,2. NO,2. NO,"1. YES, AT LEAST ONCE",2. WATER SUPPLY REDUCED,,1. YES,,,2. NO,2. WATER SUPPLY REDUCED,,1. All of the time,3. About half of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. No revenue from sales,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,,1. YES,0,0,0,1,1,0,0,,1. YES,,1010. BEANS/COWPEA,1070. GUINEA CORN (SORGHUM),1060. GROUND NUT/PEANUTS,,1. YES,0,0,1,1,0,0,0,0,,1,1,1,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-04T19:13:51
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159051,May 03,12,3459.421734683784,2. NO,2. NO,"1. YES, AT LEAST ONCE",2. WATER SUPPLY REDUCED,,1. YES,,,1. YES,,,4. Some of the time,4. Some of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. WORKING AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,5. VACATION,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",5. As an employee for the government,2. NO,1. Full normal payment,96. OTHER (SPECIFY),ANNUAL LEAVE RESUMING ON MONDAY,,,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,,2. NO,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,0,0,0,0,0,1,1,1,0,1,1,1,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-05T17:10:31
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159052,April 29,1,2398.2090153308377,2. NO,1. YES,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-03T12:16:36
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159055,May 07,21,2975.85298870192,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,1,1,0,0,1,0,0,,1. YES,0,1,0,1,0,0,0,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),LACK OF RAIN FALL,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1060. GROUND NUT/PEANUTS,1010. BEANS/COWPEA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,2. NO,,0,2020-06-12T18:38:45
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159059,May 05,4,2040.62021118395,2. NO,2. NO,"1. YES, AT LEAST ONCE",1. WATER SUPPLY NO LONGER AVAILABLE,,1. YES,,,1. YES,,,2. Most of the time,5. None of the time,1. YES,1. YES,,,1. YES,1. YES,1,0,1,0,1,1,0,0,,1. YES,1,0,1,1,1,0,0,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",2. The same,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,1. YES,1,1,1,1,1,1,0,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,2,3. HAUSA,1. YES,,0,2020-06-05T13:53:35
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159061,May 01,21,2860.4132672440364,2. NO,2. NO,"1. YES, AT LEAST ONCE",10. CANNOT AFFORD IT,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,5. VACATION,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,1080. MAIZE,1100. MILLET/MAIWA,1070. GUINEA CORN (SORGHUM),,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,2. NO,,0,2020-06-06T20:37:46
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159062,May 05,21,2116.276123287302,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,3. Permanently closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,,,,,,,,,,,,,,,,,,1. YES,,1080. MAIZE,1070. GUINEA CORN (SORGHUM),1100. MILLET/MAIWA,,1. YES,0,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,1,"THE FARM LAND AM USING TO GROW MY FARM PRODUCE  I NORMALLY HIGH IT, BUT NOW I CAN NOT AFFORD TO HIGH AGAIN DO TO LACK OF MONEY",,,,,,,,,,,0,1,0,0,0,0,0,,2. NO,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,2. NO,,0,2020-06-02T09:15:26
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159063,April 29,21,2460.213109034597,1. YES,2. NO,"1. YES, AT LEAST ONCE",1. WATER SUPPLY NO LONGER AVAILABLE,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,6. I have not been in public during the last 7 days,6. I have not been in public during the last 7 days,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,98. DON'T KNOW,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,2. NO,1. YES,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1110. RICE,1060. GROUND NUT/PEANUTS,,1. YES,0,0,1,0,0,0,0,0,,1,1,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,2. NO,,1,2020-06-03T11:02:05
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159064,April 29,19,2513.815524603897,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,3. About half of the time,3. About half of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,"MA SU BASHIN SU BA SU MAYAR MA SU DA SHI BA HARYANZU,SABO DA HAKA KUDADAIN SU NA WAJE DAYAWA.",2. NO,,,,,,,,,1. YES,,1080. MAIZE,1070. GUINEA CORN (SORGHUM),1100. MILLET/MAIWA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,0,1,1,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-02T12:30:14
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159065,May 08,21,2970.649153818562,2. NO,2. NO,"1. YES, AT LEAST ONCE",1. WATER SUPPLY NO LONGER AVAILABLE,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,0,1,0,0,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1110. RICE,1070. GUINEA CORN (SORGHUM),9999. OTHER CROP (SPECIFY),COTTON,1. YES,0,1,0,0,0,0,0,0,,1,1,1,1,1,0,0,1,0,,,,,,,,,,,,0,0,0,1,0,0,0,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,2. NO,,5,2020-06-04T09:47:02
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159066,April 30,21,4264.794848813671,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,5. VACATION,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1080. MAIZE,1010. BEANS/COWPEA,1070. GUINEA CORN (SORGHUM),,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,3. HAUSA,2. NO,,0,2020-06-05T11:47:24
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159071,May 07,12,5930.896639621141,1. YES,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,5. None of the time,1. YES,2. NO,1. LACK OF MONEY,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1110. RICE,1080. MAIZE,1100. MILLET/MAIWA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,0,0,0,1,1,0,0,0,0,0,1,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-14T12:47:54
2. North East,15. Gombe,1509. NAFADA,2. Rural,388,159072,May 04,4,4582.023295061027,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,2. NO,96. OTHER (SPECIFY),NO SOAP SELLERS IN OUR AREA,1. YES,,,5. None of the time,5. None of the time,1. YES,2. NO,1. LACK OF MONEY,,1. YES,1. YES,1,0,0,0,1,1,0,0,,1. YES,1,0,0,1,0,1,1,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,3. Permanently closed,96. OTHER (SPECIFY),WE DON'T DO ANY BUSINESS BEFORE MID MARCH BUT ONLY FARMING,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,,,,,,,,,,,,,,,1. YES,,1070. GUINEA CORN (SORGHUM),1110. RICE,1080. MAIZE,,1. YES,0,0,1,1,1,0,0,0,,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,1. YES,,0,2020-06-12T17:51:53
