zone,state,lga,sector,ea,hhid,source_cd,s7q1
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,8. PENSION,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,8. PENSION,1. YES
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,8. PENSION,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79011,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79011,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79011,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
1. North Central,7. Benue,701. ADOR,2. Rural,104,79011,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,701. ADOR,2. Rural,104,79011,8. PENSION,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,8. PENSION,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,8. PENSION,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,8. PENSION,1. YES
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,8. PENSION,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,8. PENSION,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,8. PENSION,1. YES
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,8. PENSION,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,8. PENSION,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,8. PENSION,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,8. PENSION,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,8. PENSION,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,8. PENSION,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,8. PENSION,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,8. PENSION,2. NO
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,4. REMITTANCES FROM ABROAD,2. NO
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,8. PENSION,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,4. REMITTANCES FROM ABROAD,1. YES
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,8. PENSION,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,8. PENSION,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,8. PENSION,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,8. PENSION,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,8. PENSION,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,8. PENSION,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,8. PENSION,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,8. PENSION,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,8. PENSION,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,8. PENSION,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,8. PENSION,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,8. PENSION,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,8. PENSION,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,8. PENSION,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,1. YES
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,8. PENSION,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",1. YES
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,8. PENSION,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,8. PENSION,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,8. PENSION,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,8. PENSION,2. NO
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,4. REMITTANCES FROM ABROAD,2. NO
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,8. PENSION,2. NO
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,4. REMITTANCES FROM ABROAD,2. NO
