zone,state,lga,sector,ea,hhid,interviewer_id,wt_round5,wt_r5panel,s2q0a,s2q0b,filter1,s5cq1,s5cq2__1,s5cq2__2,s5cq2__14,s5cq2__3,s5cq2__4,s5cq2__5,s5cq2__6,s5cq2__7,s5cq2__8,s5cq2__9,s5cq2__10,s5cq2__11,s5cq2__12,s5cq2__13,s5cq2__96,s5cq2_os,s5cq3,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s5cq5,filter2,s5cq6,s5cq7__1,s5cq7__2,s5cq7__3,s5cq7__4,s5cq7__5,s5cq7__6,s5cq7__7,s5cq7__96,s5cq7_os,s5cq8,s5cq9__1,s5cq9__2,s5cq9__3,s5cq9__4,s5cq9__5,s5cq9__6,s5cq9__7,emp_case,emp_respondent,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq12,s6aq10,crop_filter2,s6aq11,livest_filter3,s6bq1,s6bq6a,s6bq6,livest_filter4,s6bq7,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,16,18202.281099305983,18491.64345639566,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,5,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",2,6,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,4. Lower,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,5,1. ENGLISH,,,0,2020-09-08T21:14:47
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,23,4209.443849200036,4773.221654034206,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",24,24,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,1. YES,,1. YES,4. Lower,2. NO,1. YES,1. YES,1. YES,3. NO PREVIOUS RESPONSE,4. Lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,1,2020-09-07T19:31:05
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79098,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. DON'T UNDERSTAND LANGUAGE,,,,,,2020-09-10T08:19:58
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,16,2196.832977598022,,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,101,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),The rain was much,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,3. NO PREVIOUS RESPONSE,1. YES,5. Much lower,2. NO,1. YES,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,0,0,0,0,0,0,0,1,0,0,1,0,1. COMPLETE,101,1. ENGLISH,,,0,2020-09-11T19:22:37
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79102,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. DON'T UNDERSTAND LANGUAGE,,,,,,2020-09-08T12:44:51
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79108,14,3621.9818834383673,,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,0,0,0,0,0,2. Somewhat satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,3,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",18,18,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,1. YES,1. Open,,,,Blessing is into tailoring.,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,,1. Much higher,1. YES,,1. YES,1. Much higher,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,2. PIDGIN,,2. NO,0,2020-09-10T21:00:35
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,16,30532.29002272179,36789.901945326324,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,101,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",42,998. DON'T KNOW,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,1. Much higher,1. YES,,1. YES,2. Higher,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,101,2. PIDGIN,,2. NO,0,2020-09-08T17:51:04
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79111,16,36838.294901483554,39886.27285058273,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,0,0,0,1,0,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",21,21,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,0,0,1,1,1. COMPLETE,1,2. PIDGIN,,2. NO,0,2020-09-12T12:45:08
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79112,23,15386.873617837042,14432.751493430525,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,10,10,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,1. Much higher,1. YES,,1. YES,1. Much higher,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-10T09:16:56
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79113,23,13705.989608876827,15262.22535954404,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,0,0,0,1. Not satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),FINISHED DOING THE WORK,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",36,35,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,1. YES,1. Open,,,,Selling of clothes,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,4. Lower,1. YES,,1. YES,3. The same,1. YES,,1. YES,,1. YES,1. Much higher,1,0,0,0,0,0,0,0,0,1,1,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-09T10:24:26
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79116,23,20092.72736517812,20743.66194295118,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,401,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),low paid,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",28,29,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,5. Much lower,2. NO,,1. YES,,1. YES,,2. NO,,1. YES,,0,1,0,1,0,1,0,0,0,1,0,1,1. COMPLETE,401,1. ENGLISH,,,0,2020-09-07T21:23:08
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79120,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. REFUSED,,,,,,2020-09-11T08:50:41
1. North Central,7. Benue,721. UKUM,2. Rural,2400,79125,23,29890.33884132904,31794.347068152627,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",36,36,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,0,1,0,1,1. COMPLETE,1,7. TIV,,,0,2020-09-08T18:25:13
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79133,23,11398.11956716208,11613.249939533562,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,1,0,0,0,0,0,2. Somewhat satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",36,36,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,5. Much lower,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,7. TIV,,,4,2020-09-19T06:58:54
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79134,23,17036.681248289988,,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",9,48,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,3. NO PREVIOUS RESPONSE,1. YES,2. NO,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,0,1,1,1. COMPLETE,1,7. TIV,,,2,2020-09-08T12:37:11
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79138,23,12268.390864389336,13060.78313360414,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,4,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",30,30,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,,1. YES,,4. Lower,1. YES,,2. NO,,1. YES,,1. YES,,1. YES,5. Much lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,7. TIV,,,0,2020-09-12T11:42:45
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79142,23,27149.490299355944,28950.178476547037,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),drought,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,1. YES,,1. YES,,1. YES,,1. YES,4. Lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,7. TIV,,,0,2020-09-07T18:53:19
1. North Central,7. Benue,723. VANDEIKYA,2. Rural,1088,79143,23,6925.13355321885,7547.094334293918,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",54,54,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,1. YES,1. Open,,,,SELLING OF PALM OIL,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,4. Lower,2. NO,,1. YES,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,7. TIV,,,0,2020-09-07T15:09:20
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80012,1,5441.55454152372,5668.676157589699,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",16,16,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,4. CAN'T GET INPUTS,,1. YES,,2. Higher,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-14T18:39:36
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80013,4,3647.68508059596,3554.8640293169287,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",16,16,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,4. CAN'T GET INPUTS,,1. YES,BUYING AND SELLING KOLANUT,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,2. Higher,1. YES,,2. NO,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-15T20:53:19
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80015,21,3647.68508059596,3554.8640293169287,2. NO,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,56,56,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,2. Higher,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T20:29:30
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80019,1,2291.5385571637407,2293.9992570521204,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,4,2. NO,2. NO,,,,,,1. YES,"7. SEEK HELP FROM RELATIVES, FRIENDS, OTHERS",,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,1. YES,3. Permanently closed,4. CAN'T GET INPUTS,,2. NO,knitting of cap,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,,4. Lower,2. NO,,2. NO,,1. YES,,2. NO,,2. NO,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,3. HAUSA,,1. YES,0,2020-09-17T09:17:20
2. North East,8. Borno,821. MAIDUGURI METROPOLITAN,1. Urban,1448,80020,19,2523.5689114733777,2474.584409791425,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),he did not work last week because he lost a relative,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,2. NO,,2. NO,,1. YES,,1. YES,,1. YES,4. Lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-07T15:44:02
2. North East,8. Borno,805. BIU,2. Rural,46,80092,19,14762.422475269857,15317.475348903597,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,1,1,0,0,0,1,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),no money for the work,,,,,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,4. CAN'T GET INPUTS,,2. NO,,,,,,1. YES,,3. The same,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-13T07:54:28
2. North East,8. Borno,805. BIU,2. Rural,46,80095,19,11832.999303584404,12355.189123882918,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,35,35,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,2. NO,,2. NO,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-13T08:10:44
2. North East,8. Borno,805. BIU,2. Rural,46,80100,12,14208.374803575647,14732.766636032855,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,4,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,4. CAN'T GET INPUTS,,1. YES,,4. Lower,2. NO,,2. NO,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,3. HAUSA,,1. YES,0,2020-09-11T14:57:12
2. North East,8. Borno,827. SHANI,2. Rural,804,80103,21,6231.616698644304,,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",25,25,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,11. LACK OF CAPITAL OR LOSS OF WORKING CAPITAL,,2. NO,,,,,,1. YES,,3. The same,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,3. The same,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T09:37:52
2. North East,8. Borno,827. SHANI,2. Rural,804,80104,13,2976.306563956352,2987.660134353526,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,50,56,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,4. Lower,2. NO,1. YES,1. YES,1. YES,3. NO PREVIOUS RESPONSE,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-14T21:17:54
2. North East,8. Borno,827. SHANI,2. Rural,804,80107,21,6358.269120061356,6297.448121870891,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,24,24,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,98. DON'T KNOW,1. YES,,1. YES,98. DON'T KNOW,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T21:19:28
2. North East,8. Borno,827. SHANI,2. Rural,804,80108,19,6724.454585785122,6750.049395651568,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",60,60,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,,1. YES,,1. Much higher,1. YES,,1. YES,2. Higher,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-07T07:21:28
