zone,state,lga,sector,ea,hhid,indiv,s2q2,s2q3,s2q4,s2q4_os,s2q5,s2q6,s2q7a,s2q7,s2q7_os,s2q8,s2q8_os,s2q9,s2q9_os
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,5,2. NO,1. YES,,,2. FEMALE,32,1. YES,10. PARENT,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,6,2. NO,1. YES,,,2. FEMALE,10,1. YES,7. BROTHER/SISTER,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,9,2. NO,1. YES,,,2. FEMALE,6,1. YES,7. BROTHER/SISTER,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,1,2. NO,1. YES,,,2. FEMALE,52,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,2,2. NO,1. YES,,,1. MALE,22,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,3,2. NO,1. YES,,,2. FEMALE,20,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,4,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,1,2. NO,1. YES,,,1. MALE,38,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,2,2. NO,1. YES,,,2. FEMALE,31,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,3,2. NO,1. YES,,,2. FEMALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,4,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,1,2. NO,1. YES,,,1. MALE,37,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,2,2. NO,1. YES,,,2. FEMALE,33,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,3,2. NO,1. YES,,,1. MALE,23,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,4,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,5,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,6,2. NO,1. YES,,,2. FEMALE,16,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,7,2. NO,1. YES,,,2. FEMALE,66,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,1,2. NO,1. YES,,,1. MALE,33,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,3,2. NO,1. YES,,,2. FEMALE,16,1. YES,4. STEP CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,4,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,5,2. NO,1. YES,,,2. FEMALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,6,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,7,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,8,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,1,2. NO,1. YES,,,1. MALE,61,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,2,2. NO,1. YES,,,2. FEMALE,52,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,4,2. NO,1. YES,,,1. MALE,27,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,6,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,7,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70157,8,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,2,2. NO,1. YES,,,2. FEMALE,77,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,4,2. NO,1. YES,,,2. FEMALE,54,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70159,201,2. NO,1. YES,,,1. MALE,36,1. YES,6. GRANDCHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,1,2. NO,1. YES,,,1. MALE,63,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,2,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,5,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,6,2. NO,1. YES,,,1. MALE,9,1. YES,4. STEP CHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79002,7,2. NO,1. YES,,,2. FEMALE,12,1. YES,6. GRANDCHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,1,2. NO,1. YES,,,1. MALE,30,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,2,2. NO,1. YES,,,2. FEMALE,28,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,3,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,4,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,101,2. NO,1. YES,,,2. FEMALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,701. ADOR,2. Rural,104,79008,301,2. NO,1. YES,,,1. MALE,25,1. YES,14. OTHER RELATION (SPECIFY),COUSIN,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,1,2. NO,1. YES,,,1. MALE,29,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,3,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,4,2. NO,1. YES,,,2. FEMALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79016,101,2. NO,1. YES,,,1. MALE,25,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,2,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,3,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,4,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,5,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,6,2. NO,1. YES,,,2. FEMALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79018,301,2. NO,1. YES,,,1. MALE,23,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,1,2. NO,1. YES,,,1. MALE,51,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,2,2. NO,1. YES,,,2. FEMALE,46,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,3,2. NO,1. YES,,,2. FEMALE,44,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,4,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,5,2. NO,1. YES,,,2. FEMALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,6,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,7,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,8,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,9,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,10,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79021,12,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,3,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,4,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,5,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,6,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,7,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,8,2. NO,1. YES,,,2. FEMALE,66,1. YES,10. PARENT,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,9,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79023,401,1. YES,,,,2. FEMALE,0,1. YES,3. OWN CHILD,,1. NEW BORN,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,1,2. NO,1. YES,,,1. MALE,31,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,3,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,4,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,5,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,6,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,702. AGATU,2. Rural,954,79024,7,2. NO,1. YES,,,1. MALE,1,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,1,2. NO,1. YES,,,2. FEMALE,53,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,4,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,5,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,6,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79029,7,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,1,2. NO,1. YES,,,1. MALE,31,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,101,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79034,401,1. YES,,,,1. MALE,0,1. YES,4. STEP CHILD,,1. NEW BORN,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,3,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,4,2. NO,1. YES,,,1. MALE,16,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,5,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,1,2. NO,1. YES,,,1. MALE,33,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,2,2. NO,1. YES,,,2. FEMALE,28,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,101,2. NO,1. YES,,,1. MALE,0,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,102,2. NO,1. YES,,,1. MALE,6,1. YES,8. NIECE/NEPHEW,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,103,2. NO,1. YES,,,1. MALE,8,1. YES,7. BROTHER/SISTER,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,1,2. NO,1. YES,,,1. MALE,48,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,3,2. NO,1. YES,,,2. FEMALE,66,1. YES,10. PARENT,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,4,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,5,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,6,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,401,1. YES,,,,2. FEMALE,8,1. YES,8. NIECE/NEPHEW,,7. MOVED IN WITH PARENT OR RELATIVE,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,1,2. NO,1. YES,,,2. FEMALE,46,2. NO,,,,,1. HEAD,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,2,2. NO,2. NO,3. LEFT FOR WORK,,,,2. NO,,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,3,2. NO,2. NO,3. LEFT FOR WORK,,,,2. NO,,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,4,2. NO,1. YES,,,1. MALE,11,2. NO,,,,,3. OWN CHILD,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,5,2. NO,2. NO,3. LEFT FOR WORK,,,,2. NO,,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,101,2. NO,1. YES,,,2. FEMALE,53,2. NO,,,,,7. BROTHER/SISTER,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,102,2. NO,1. YES,,,2. FEMALE,30,2. NO,,,,,7. BROTHER/SISTER,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,103,2. NO,1. YES,,,2. FEMALE,13,2. NO,,,,,7. BROTHER/SISTER,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,104,2. NO,1. YES,,,2. FEMALE,4,2. NO,,,,,6. GRANDCHILD,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,105,2. NO,1. YES,,,1. MALE,3,2. NO,,,,,6. GRANDCHILD,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,401,1. YES,,,,2. FEMALE,25,2. NO,,,9. RETURN FROM WORK MIGRATION,,7. BROTHER/SISTER,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,1,2. NO,1. YES,,,1. MALE,66,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,1,2. NO,1. YES,,,1. MALE,49,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,2,2. NO,1. YES,,,2. FEMALE,43,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,3,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,1,2. NO,1. YES,,,1. MALE,54,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,2,2. NO,1. YES,,,2. FEMALE,37,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,3,2. NO,1. YES,,,2. FEMALE,20,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,4,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,5,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,6,2. NO,1. YES,,,1. MALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,7,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,8,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,9,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,10,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,1,2. NO,1. YES,,,1. MALE,41,1. YES,1. HEAD,,,,,
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,2,2. NO,1. YES,,,2. FEMALE,30,1. YES,2. SPOUSE,,,,,
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,3,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,4,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,5,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,6,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,1,2. NO,1. YES,,,1. MALE,44,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,3,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,4,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,1,2. NO,1. YES,,,1. MALE,39,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,2,2. NO,1. YES,,,2. FEMALE,31,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,3,2. NO,1. YES,,,1. MALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,4,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,101,2. NO,1. YES,,,1. MALE,0,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,1,2. NO,1. YES,,,1. MALE,37,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,2,2. NO,1. YES,,,2. FEMALE,26,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,3,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,4,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,4,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,5,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,6,2. NO,1. YES,,,2. FEMALE,7,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,7,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,1,2. NO,1. YES,,,2. FEMALE,59,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,2,2. NO,1. YES,,,2. FEMALE,4,1. YES,6. GRANDCHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,3,2. NO,1. YES,,,2. FEMALE,33,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,4,2. NO,1. YES,,,2. FEMALE,20,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,5,2. NO,1. YES,,,2. FEMALE,11,1. YES,6. GRANDCHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,1,2. NO,1. YES,,,1. MALE,52,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,3,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,4,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,5,2. NO,1. YES,,,1. MALE,16,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,6,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,1,2. NO,1. YES,,,1. MALE,59,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,2,2. NO,1. YES,,,2. FEMALE,49,1. YES,2. SPOUSE,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,3,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,4,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,5,2. NO,1. YES,,,1. MALE,14,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,6,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,7,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,8,2. NO,1. YES,,,2. FEMALE,80,1. YES,7. BROTHER/SISTER,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,1,2. NO,1. YES,,,2. FEMALE,51,1. YES,1. HEAD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,2,2. NO,1. YES,,,1. MALE,21,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,3,2. NO,1. YES,,,2. FEMALE,26,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,5,2. NO,1. YES,,,1. MALE,18,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,6,2. NO,1. YES,,,2. FEMALE,9,1. YES,6. GRANDCHILD,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,101,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,1,2. NO,1. YES,,,1. MALE,51,1. YES,1. HEAD,,,,,
