zone,state,lga,sector,ea,hhid,interviewer_id,wt_baseline,s3q1,s3q2__1,s3q2__2,s3q2__3,s3q2__4,s3q2__5,s3q2__6,s3q2__7,s3q2__8,s3q2__9,s3q2__10,s3q3__1,s3q3__2,s3q3__3,s3q3__4,s3q3__5,s3q3__6,s3q3__7,s3q3__8,s3q3__9,s3q3__10,s3q3__96,s3q3__11,s3q3__98,s3q3_os,s3q4,s3q5__1,s3q5__2,s3q5__3,s3q5__4,s3q5__5,s3q5__6,s3q5__96,s3q5_os,s4q1,s4q2,s4q3,s4q4,s5q1a1,s5q1b1,s5q1c1__1,s5q1c1__2,s5q1c1__3,s5q1c1__4,s5q1c1__5,s5q1c1__6,s5q1a2,s5q1b2,s5q1c2__1,s5q1c2__2,s5q1c2__3,s5q1c2__4,s5q1c2__5,s5q1c2__6,s5q1a3,s5q1b3,s5q1c3__1,s5q1c3__2,s5q1c3__3,s5q1c3__4,s5q1c3__5,s5q1c3__6,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4a,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,s5q8,s5q9,s5q10,s5q10_os,s6q1,s6q2,s6q3,s6q3_os,s6q4,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q11,s6q12,s6q13,s6q14,s6q14_os,s6q15,s6q16,s6q17__1,s6q17__2,s6q17__3,s6q17__4,s6q17__5,s6q17__6,s6q17__96,s6q17_os,s8q4,s8q6,s8q8,s9q1,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q11,s12q14
2. North East,5. Bauchi,506. DASS,2. Rural,830,50006,4,8402.983004198388,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,0,1,0,1,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,1,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,96. OTHER (SPECIFY),"PRIVATE HOSPITALS COULD NOT ACCEPT HER, THEY SAID THE GOVERNMENT DID NOT SUPPLY THEM WITH ANY PROTECTIVE INSTRUMENTS, AND THERE WAS NO GOVERNMENT FACILITY CLOSER TO US",1. YES,1. YES,1. YES,0,0,0,1,1,1,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",4. No revenue from sales,"96. OTHER, SPECIFY",IT WAS BUYING AND SELLING OF EGGS AND THERE WAS NO CAPITAL TO CONTINUE THE BUSINESS,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,4,2020-04-30T17:49:33
2. North East,5. Bauchi,506. DASS,2. Rural,830,50009,4,7945.477345489984,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,1,1,0,0,0,0,0,0,,2. NO,0,1,1,0,0,0,1,GOVERNMENT SHOULD ENABLE US TO PRAY,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,1,0,0,0,1,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,1,1,0,0,1,1,1,0,,1. YES,1,1,0,1,1,1,1,1. YES,2. NO,2. NO MONEY IN ATM,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,8. PUBLIC ADMINISTRATION,,,,,,,1. YES,5,6,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-07T10:23:14
2. North East,5. Bauchi,502. BAUCHI,2. Rural,3878,50034,12,6192.935022204612,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,1,0,0,0,0,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,1,A member of another household who lives in the same compound as them is teaching thr children,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,2. NO,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1,2020-04-23T10:28:55
2. North East,5. Bauchi,502. BAUCHI,2. Rural,3878,50035,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. REFERENCE PERSON CAN'T CONNECT TO HH,,,,,2020-04-29T13:19:25
2. North East,5. Bauchi,502. BAUCHI,2. Rural,3878,50036,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-08T12:04:50
2. North East,5. Bauchi,502. BAUCHI,2. Rural,0,50037,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T23:12:18
2. North East,5. Bauchi,502. BAUCHI,2. Rural,3878,50040,7,6754.653231251967,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,1,1,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"2. MINING, MANUFACTURING",1. In your own non-farm business,,,,,2. NO,,,,,,,,"2. MINING, MANUFACTURING",1. Higher,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-21T09:00:11
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50051,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-05T11:22:21
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50052,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-02T21:26:29
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50054,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-30T11:50:27
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50055,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. NOBODY ANSWERING,,,,,2020-05-11T20:04:44
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50057,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-24T13:30:33
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50058,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-04T11:50:46
2. North East,5. Bauchi,513. KIRFI,2. Rural,348,50059,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T22:46:20
2. North East,5. Bauchi,508. GANJUWA,2. Rural,984,50094,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,,1. YES,1. YES,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. PARTIALLY COMPLETE,,,,,2020-04-29T21:47:35
2. North East,5. Bauchi,508. GANJUWA,2. Rural,984,50096,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. REFERENCE PERSON CAN'T CONNECT TO HH,,,,,2020-04-30T13:06:23
2. North East,5. Bauchi,508. GANJUWA,2. Rural,984,50097,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-29T10:12:37
2. North East,5. Bauchi,508. GANJUWA,2. Rural,984,50098,4,17290.16671240025,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,1,0,0,"WASH HANDS, KEEP SOCIAL DISTANCE",2. NO,0,1,1,0,0,0,0,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,1,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,1,1,1,1,0,,1. YES,0,0,0,0,0,0,1,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,3. HAUSA,,1,2020-05-03T17:40:13
2. North East,5. Bauchi,508. GANJUWA,2. Rural,984,50099,19,23107.82826289343,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,1,0,0,0,1,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,1. YES,2. NO,1. BANK/MONEY AGENT WAS CLOSED,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),1. YES,,,,1. YES,101,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,0,1,0,1,1. COMPLETE,1,3. HAUSA,,0,2020-05-04T10:25:01
2. North East,5. Bauchi,518. TORO,2. Rural,1588,50131,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T22:58:24
2. North East,5. Bauchi,518. TORO,2. Rural,1588,50132,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-29T10:15:18
2. North East,5. Bauchi,518. TORO,2. Rural,1588,50134,4,19277.656817396608,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,1,1,"GOVERNMENT SHOULD PROVIDE US WITH GOOD HEALTH FACILITY, AND ASSIST US IN SUSTAINING OUR AGRICULTURAL ACTIVITES",1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,1,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,1,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. YES,2. NO,96. OTHER (SPECIFY),NO BANK ACCOUNT AND ATM CARD,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,2. NO,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,2,2020-05-10T09:18:47
2. North East,5. Bauchi,518. TORO,2. Rural,1588,50135,13,6164.058210224766,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,0,0,1,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1,2020-04-28T07:39:41
2. North East,5. Bauchi,518. TORO,2. Rural,1588,50136,13,6184.164267190997,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,1,0,0,0,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. Higher,,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-26T08:20:10
2. North East,5. Bauchi,518. TORO,2. Rural,1588,50139,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T20:08:17
1. North Central,31. Plateau,3105. JOS NORTH,1. Urban,0,50140,4,7499.1041406267805,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,1,1,0,0,0,,2. NO,0,1,1,1,0,0,0,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,1,1,1,0,0,,1. YES,0,0,0,1,0,0,0,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,,,,2. NO,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-30T13:26:39
2. North East,5. Bauchi,518. TORO,2. Rural,1304,50151,4,6986.829039061937,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,0,0,1,1,1,1,0,0,1,0,0,NO MOSQUE,2. NO,0,1,1,1,0,0,0,,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1,1,0,1,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,1,0,0,0,1,1. YES,2. NO,1,1,0,0,0,1,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,96. OTHER (SPECIFY),NO BANK ACCOUNT,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",4. No revenue from sales,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,3. HAUSA,,0,2020-05-11T10:40:38
2. North East,5. Bauchi,518. TORO,2. Rural,1304,50154,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-07T12:59:51
2. North East,5. Bauchi,518. TORO,2. Rural,1304,50157,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-04T16:04:29
2. North East,5. Bauchi,518. TORO,2. Rural,1304,50158,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T20:28:23
