zone,state,lga,sector,ea,hhid,interviewer_id,wt_round3,wt_r3panel,s2q0a,s2q0b,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q1c,s5q1d,s5q1e,s5q2,s5q3,s5q4,s5q4_os,filter2,s5q3a,s5q3b,s5q3c__1,s5q3c__2,s5q3c__3,s5q3c__4,s5q3c__5,s5q3c__6,s5q3c__96,s5q3c_os,s5q3d,s5q3e,s5q3f__1,s5q3f__2,s5q3f__3,s5q3f__4,s5q3f__96,s5q3f_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q11,s5q12,s5q13__1,s5q13__2,s5q13__3,s5q13__4,s5q13__96,s5q13_os,s5q13a,s5q13b__1,s5q13b__2,s5q13b__3,s5q13b__96,s5q13b_os,s5q14,s5q15,s5q16,s5q17__1,s5q17__2,s5q17__3,s5aq1,s5aq2,s5aq2_os,s5aq3__1,s5aq3__2,s5aq3__3,s5aq3__4,s5aq3__5,s5aq3__6,s5aq3__7,s5aq3__8,s5aq3__9,s5aq3__10,s5aq3__11,s5aq3__12,s5aq3__96,s5aq3_os,s5aq4,s5aq5,s5aq6a,s5aq6b,s5aq7__1,s5aq7__2,s5aq7__3,s5aq7__4,s5aq7__96,s5aq7_os,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8f__1,s6q8f__2,s6q8f__3,s6q8f__4,s6q8f__5,s6q8f__6,s6q8f__7,s6q8f__8,s6q8f__96,s6q8f_os,s6q8g,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s6q15a,s6q15b,s6q16a,s6aq1,s6aq1b,s6q2a,s6q2b,s6q2c,s6q2d,s6q2e,s6aq3a,s6aq4__1,s6aq4__2,s6aq4__3,s6aq4__4,s6aq4__5,s6aq4__6,s6aq4__96,s6aq4_os,s6aq3b,s6aq5__1,s6aq5__2,s6aq5__3,s6aq5__4,s6aq5__5,s6aq5__6,s6aq5__96,s6aq5_os,s6aq3c,s6aq6__1,s6aq6__2,s6aq6__3,s6aq6__4,s6aq6__5,s6aq6__6,s6aq6__96,s6aq6_os,s6aq3d,s6aq7__1,s6aq7__2,s6aq7__3,s6aq7__4,s6aq7__5,s6aq7__96,s6aq7_os,s6aq3e,s6aq8__1,s6aq8__2,s6aq8__3,s6aq8__4,s6aq8__5,s6aq8__96,s6aq8_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,filter,s12q4a,s12q4b,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149119,2,12931.616918282974,13275.708773205655,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,1. YES,2. NO,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. YES,1. YES,0,0,0,1,1,1,0,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,7,2. NO,1. YES,1. YES,2. NO,2. NO,,,,,,,,,,2. NO,1,0,0,0,0,0,0,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,7,5. IGBO,,,0,2020-07-12T20:48:16
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149120,15,17499.248685607625,17368.583678093906,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,3. THREE,2. NO,,,,1. YES,1. YES,2. NO,0,0,0,0,1,0,0,,1. YES,2. NO,1,1,1,1,0,,1. YES,1. YES,1,0,0,1,1,1,1,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,Tailoring,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,2. NO,,1. YES,,7,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,7,5. IGBO,,,0,2020-07-11T17:14:01
4. South East,14. Enugu,1416. UDI,2. Rural,1134,149122,2,33693.68279481425,35729.61520214832,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,2. NO,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,1. YES,2. NO,1,0,0,1,0,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,1. YES,1. Open,,,laborer job by Abuchi his son,4. CONSTRUCTION,,,,2. NO,,1. YES,,1,2. NO,1. YES,2. NO,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-10T11:41:34
4. South East,14. Enugu,1416. UDI,2. Rural,1134,149123,6,29304.224269743707,30083.967819971393,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,0,0,1,0,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,1. YES,1. Open,,,buying and selling of dog meat and drinks,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,1,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,1. YES,,,1. COMPLETE,1,5. IGBO,,,3,2020-07-12T15:16:39
4. South East,14. Enugu,1416. UDI,2. Rural,1134,149126,6,47428.32649020596,50873.637358769956,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,2. Most of the time,2. TWO,2. NO,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,2. NO,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-10T17:01:27
4. South East,14. Enugu,1416. UDI,2. Rural,1134,149129,15,39674.61933640074,40252.83730711897,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. Most of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,2. NO,2. NO,1. YES,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,5. IGBO,,,0,2020-07-11T19:04:56
4. South East,14. Enugu,1416. UDI,2. Rural,1134,149130,2,22546.271116097312,23874.749964035662,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,1. YES,1. YES,,,,,,,1. YES,0,1,0,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,1. YES,1. Open,,,loading of people into cars (agboro job) by the respondent,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,2. NO,,1. YES,,2,2. NO,1. YES,2. NO,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,2. NO,2. AT A DIFFERENT NUMBER,1,1. COMPLETE,1,5. IGBO,,,0,2020-07-11T09:46:25
4. South East,14. Enugu,1416. UDI,2. Rural,1134,149132,6,23183.42356319292,23691.697930633243,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,1. YES,,,,,,,1. YES,1,0,0,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,2,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,2. NO,2. AT A DIFFERENT NUMBER,2,1. COMPLETE,1,5. IGBO,,,0,2020-07-06T18:53:16
4. South East,14. Enugu,1417. UZO-UWANI,2. Rural,36,149134,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,7. PHONE TURNED OFF,,,,,,2020-07-20T20:32:20
4. South East,14. Enugu,1417. UZO-UWANI,2. Rural,36,149136,15,3055.1492558966243,3064.4559078045572,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,1,0,1,1,1,1,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,5. WITHIN THE NEXT 7 TO 12 MONTHS,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,2. NO,8. SEASONAL WORKER,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,Provision store,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,1. YES,,2,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,2. NO,1. AT THIS NUMBER,,1. COMPLETE,1,5. IGBO,,,0,2020-07-08T18:09:37
2. North East,15. Gombe,1506. GOMBE,1. Urban,398,150002,21,3324.2278366400046,3378.8493880902042,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,3. About half of the time,4. Some of the time,3. THREE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,4. CONSTRUCTION,1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT ROUND 2,,1. Open,,,MAKING AND SELLING OF TEA AND INDOMIE,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,2,1. YES,,1,2. NO,1. YES,1. YES,2. NO,2. NO,,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-12T19:56:03
2. North East,15. Gombe,1506. GOMBE,1. Urban,398,150005,1,2223.7163546789193,2190.6256978326805,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,2. NO,,,,,,1. YES,1. APPLY TO PROSPECTIVE EMPLOYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT","3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-11T15:43:18
2. North East,15. Gombe,1506. GOMBE,1. Urban,398,150007,13,2035.8906185632384,2041.5725516786194,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. Most of the time,1. All of the time,3. THREE,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,1,0,0,0,0,,1. YES,1. YES,0,0,1,1,1,1,0,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),1. YES,,,,40,3. Fewer hours,1,1,1,1,0,1,0,0,0,,3. Sometimes follow and sometimes don't follow,1. YES,2,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,BUYING AND SELLING OF PROVISONS,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,2,1. YES,,1,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,1,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,1,0,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-09T10:58:28
2. North East,15. Gombe,1506. GOMBE,1. Urban,398,150008,13,4264.536120195242,4364.956370705362,2. NO,2. NO,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. Most of the time,2. Most of the time,2. TWO,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,1,0,1,1,0,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT ROUND 2,,1. Open,,,BUYING AND SELLING OF MEAT,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,1. YES,3,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-07T07:50:23
2. North East,15. Gombe,1506. GOMBE,1. Urban,398,150010,21,2748.7369061960876,2707.5537908328047,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,4. Some of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,1. YES,,,,2,3. Fewer hours,0,1,0,0,0,0,0,0,0,,5. Strongly follow,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,1,2. NO,1. YES,1. YES,1. YES,1. YES,,,,,,,,,,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-08T17:33:00
2. North East,15. Gombe,1508. KWAMI,2. Rural,1682,150012,21,2771.9634285003963,2773.433619573471,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,1. YES,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,4. CAN'T GET INPUTS,,BUYING AND SELLING OF PALM OIL,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,301,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,301,3. HAUSA,,2. NO,0,2020-07-11T15:12:00
2. North East,15. Gombe,1508. KWAMI,2. Rural,1682,150013,4,1154.2588339733231,1201.7230771988188,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. Most of the time,1. All of the time,2. TWO,1. YES,1. YES,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,0,1,DON'T HAVE ENOUGH ANIMALS TO PROVIDE ME WITH DUNG,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,NO MONEY,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-07T15:38:35
