zone,state,lga,sector,ea,hhid,indiv,wt_educ_r6,wt_educ_r6_pp_panel,wt_educ_r6_ph_panel,s5cq10,s5cq10a,s5cq11,s5cq12,s5cq12_os,s5cq12a,s5cq13a,s5cq13,s5cq13_os,s5cq14,s5cq14_os,s5cq15,s5cq16,s5cq17,s5cq17a,s5cq18,s5cq19,s5cq19_os,s5cq20,s5cq20_os,s5cq21
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,7,7448.8130531657835,8365.572771906569,8336.726801079481,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,11. PRIMARY 1,,3. LOCAL GOVERNMENT,,2. NO
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,8,12341.019493659405,13429.301905457995,13438.271059523768,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,2. NO
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,10,12139.84729367468,14608.877187398903,14531.961780993164,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,11,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59058,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,3,10245.48783308095,11148.977550017797,11156.423722426902,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,4,12685.773768615303,13500.477550166212,13510.942915832427,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,5,14354.271731724628,16990.835681634886,16960.618501904304,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,8,10078.475105456902,12128.25841133868,12064.403406416977,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,9,9275.98285696511,10417.620776228168,10381.69898184633,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,10,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1292,59059,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,5,11216.173240374988,13327.098709266082,13142.578549611419,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,25. SS2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,6,10664.681769072748,11249.342362565814,11054.458093499677,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,1. YES
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,7,9247.431870336908,11128.195703333087,11069.606005842665,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,1. YES
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,10,11465.239725936652,15560.13385736795,15110.289263405248,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,16. PRIMARY 6,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,11,11639.739883294467,12387.265440044483,12396.867860547965,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,16. PRIMARY 6,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,12,19426.60987067608,25502.788098806122,23778.762246198974,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,2. NURSERY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,13,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,14,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,401,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,3,2385.7054517168212,3237.7775834018626,3144.1731995515734,1. YES,1. YES,2. NO,8. MARITAL OBLIGATION,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,4,2422.015724043026,2577.562039572898,2579.560126616208,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,5,1924.2204397640987,2315.572791483395,2303.3813533574976,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,101,1771.0055961352175,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,3,4889.97332831594,5261.915610292135,5255.312364933383,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,4,5440.467167282311,5789.863999941754,5794.352214798739,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,5,5440.467167282311,5789.863999941754,5794.352214798739,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,6,4322.291561210417,5201.369099490565,5173.984009382569,1. YES,1. YES,2. NO,10. TOO YOUNG TO ATTEND,,,,,,,,,,,2. NO,1. YES,1. NURSERY 1,,1. FEDERAL GOVERNMENT,,2. NO
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,8,4984.720586189982,5257.9935969956605,5166.903806510237,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,10,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,3,5581.427387217366,6268.359354116822,6246.7449451585035,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,401,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,3,3229.2422549121516,3406.27620061928,3347.2656712745534,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,5,3229.2422549121516,3406.27620061928,3347.2656712745534,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,11,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,7,6451.973664774385,8756.343196295498,8503.196681886146,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,8,6311.813454954568,7499.720193858293,7395.882922316674,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,1. YES,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,2. NO
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,10,6550.172258670738,6970.836398382208,6976.240085150869,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,11,5203.919701673293,6262.304786522458,6229.333894131943,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,12,4789.5608647788695,5379.034172800797,5360.486313968274,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,1. YES,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,2. NO
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,101,6451.973664774385,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,1. YES,1. YES,52. INTEGRATED QUARANIC,,5. RELIGIOUS BODY,,2. NO
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,501,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,4,8125.221098817782,8647.037779131058,8653.740831815818,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,51. QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,5,7444.57334880935,7852.70073288562,7716.660083290306,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,51. QUARANIC,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,4,7354.0476905837095,7757.212265059975,7622.825863300372,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,5,6376.7542681954965,7673.67312823022,7633.27141359388,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,8,7906.088672334007,10729.806002350073,10419.606535644316,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,201,7734.339823881888,,,1. YES,1. YES,2. NO,12. DOMESTIC OBLIGATION,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,302,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,3,6131.426826601606,7378.450430757633,7339.603056914567,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,5,8732.686825269036,10336.689292247158,10318.306111807091,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,6,8732.686825269036,10336.689292247158,10318.306111807091,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,7,8732.686825269036,10336.689292247158,10318.306111807091,1. YES,1. YES,2. NO,5. NO SCHOOL NEARBY/LACK OF TEACHERS,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,103,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,104,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,105,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,501,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59097,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59097,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59097,3,4892.664947624326,5887.746329080855,5856.74747845695,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,13. PRIMARY 3,,1. FEDERAL GOVERNMENT,,2. NO
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,3,3836.0143696131045,4174.29006652789,4177.07798886261,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,24. SS1,,2. STATE GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,4,3773.4831135605104,4540.942735206564,4517.034774898371,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,15. PRIMARY 5,,2. STATE GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,102,4678.476046687422,,,1. YES,1. YES,2. NO,8. MARITAL OBLIGATION,,,,,,,,,,,2. NO,1. YES,26. SS3,,2. STATE GOVERNMENT,,2. NO
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59101,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59101,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59101,101,4862.628388168374,,,1. YES,1. YES,2. NO,8. MARITAL OBLIGATION,,,,,,,,,,,2. NO,2. NO,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,101,11959.897488005117,,,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,23. JS3,,2. STATE GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,202,10913.345113079975,,,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,2. NO
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59104,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59104,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59104,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59104,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,201,3615.3334723712264,,,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,21. JS1,,2. STATE GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,202,4101.44892761872,,,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,21. JS1,,2. STATE GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,3,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,6,13652.449705161018,14529.235197721659,14540.4980407307,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,1. FEDERAL GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,7,13447.775490293945,18250.746754072872,17723.116346882354,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,23. JS3,,1. FEDERAL GOVERNMENT,,1. YES
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,201,8770.427466427702,,,1. YES,1. YES,2. NO,96. OTHER (SPECIFY),work on their farm,,,,,,,,,,2. NO,1. YES,23. JS3,,2. STATE GOVERNMENT,,2. NO
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,202,7350.80678383242,,,1. YES,1. YES,2. NO,6. NO TIME/NO INTEREST,,,,,,,,,,,2. NO,2. NO,,,,,
