zone,state,lga,sector,ea,hhid,indiv,wt_employ_r5,wt_employ_r5_pp_panel,wt_employ_r5_ph_panel,respondent,s6q0a,s6q0c,s6q1_1,s6q1a_1,s6q1b_1,s6q1c_1,s6q1c_1_os,s6q1d_1,s6q3a_1,s6q3b_1,s6q3b_1_os,s6q6_1,s6q6a_1,s6q5a_1,s6q8b1_1,s6q8c1_1
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,3,22951.158299064962,34226.55621092503,30533.895551104484,2. NO,2. NO,1,2. NO,1. YES,3. WITHIN THREE MONTHS,96. OTHER (SPECIFY),Student,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
1. North Central,7. Benue,704. BURUKU,2. Rural,10,79035,4,22951.158299064962,34226.55621092503,30533.895551104484,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",6,6
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,1,8174.140275917522,12148.756355018875,11823.224584524989,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",16,19
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79038,2,10292.23974857798,13826.609871703904,12829.138954448059,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",18,18
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,1,10234.134528769093,11409.311004846939,12075.131124211202,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",33,45
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79039,2,11578.990385122892,15555.232551342835,14433.056383425555,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,35
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,1,11020.401065472779,12434.762033227787,12252.853334917825,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),DUE TO TOO MUCH RAIN,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,101,11020.401065472779,,,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",21,32.3
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,102,9324.54130771419,,,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79040,401,9324.54130771419,,,2. NO,2. NO,1,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",70,70
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79041,1,,,,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",45,45
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,1,11064.189929024784,12334.68092119383,13054.503417029067,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",15,15
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,2,11273.852555018946,12957.419610885509,13038.673456713921,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",15,15
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79043,3,9355.64344669769,15149.250458507691,13471.854482260596,2. NO,2. NO,1,1. YES,,,,,,,,,"6. As an apprentice, trainee, intern",,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",66,66
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,1,6073.39588316855,6770.798477569089,7165.926092953688,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",16,998. DON'T KNOW
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,2,6188.48466397724,7112.634492543986,7157.236652838734,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",24,24
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,3,5445.962901537005,6967.750646826134,6799.22182177955,2. NO,2. NO,1,1. YES,,,,,,,,,2. In a non-farm business operated by a household member,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",72,72
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,4,5445.962901537005,6967.750646826134,6799.22182177955,2. NO,2. NO,1,1. YES,,,,,,,,,2. In a non-farm business operated by a household member,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3,998. DON'T KNOW
1. North Central,7. Benue,705. GBOKO,1. Urban,3834,79047,5,5135.534255834563,8315.782353521072,7395.0199767059685,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",10,998. DON'T KNOW
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,1,18276.806263261034,18969.668262000294,19191.763951186895,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",40,40
6. South West,24. Lagos,2408. ETI-OSA,1. Urban,0,79051,2,16363.341983935938,21639.233067517252,22048.525649430343,1. YES,,,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79052,1,11355.637253524945,13844.390792806598,13908.044643846064,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",8,8
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,1,7079.215229078905,8630.728505116118,8670.41093786803,2. NO,2. NO,2,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",10,10
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,2,8713.20183662765,11705.328040488921,10860.889352649658,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",26,20
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79053,3,6511.967768218874,10544.590680537169,9377.044205076229,2. NO,2. NO,2,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",5,5
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,1,8694.22451801518,10599.6906365109,10648.4259791445,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",30,998. DON'T KNOW
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79054,2,10700.978934395192,14375.710689371248,13338.626873411615,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,2,8389.40911337622,9642.231317014057,9702.696162670238,1. YES,,,1. YES,,,,,,,,,"6. As an apprentice, trainee, intern",,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",20,20
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79055,7,6961.97861469124,11273.276746984182,10025.046736773236,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",66,66
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,1,6909.881897391825,8292.964870763974,8433.484133933784,2. NO,2. NO,4,2. NO,1. YES,2. WITHIN ONE MONTH,6. ILL / QUARANTINED,,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,3,8100.770349098691,10882.58668796843,10097.501708607078,2. NO,2. NO,4,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,4. As an employee for a private company or another individual (not household member),,,,,,,,
1. North Central,7. Benue,713. MAKURDI,1. Urban,694,79056,4,6420.218910088708,8214.247006881122,8015.569202969948,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",15,15
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,1,5656.560969342822,6142.496368813929,6058.111528124778,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",30,998. DON'T KNOW
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,2,5780.370589103906,6274.009033989883,6055.865718806416,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",30,998. DON'T KNOW
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,3,4721.068589589742,7040.425470108362,6280.8427063137015,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,4,5027.426037188915,6223.293058348554,5727.840126066772,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",30,998. DON'T KNOW
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79061,5,4721.068589589742,7040.425470108362,6280.8427063137015,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",30,998. DON'T KNOW
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,1,8269.869518075522,7979.304425209034,7962.0998053301355,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",72,72
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,2,8746.040685343978,8854.29454158227,8871.61490714095,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",57.5,57.5
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79064,4,5581.913043637599,6909.675137895972,6359.577500505657,2. NO,2. NO,2,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",72,72
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,1,16142.726187106902,16342.53229627371,16374.500809654044,2. NO,2. NO,3,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",24,18
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,2,9674.82401053379,14427.851680184374,12871.248673536082,2. NO,2. NO,3,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,24
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,3,13243.163308387017,16139.882528207547,15174.932275978339,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",3,5
1. North Central,7. Benue,716. OHIMINI,2. Rural,458,79065,5,9674.82401053379,14427.851680184374,12871.248673536082,2. NO,2. NO,3,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",24,3
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,1,12833.884939686652,13936.39917735382,13744.942682510422,2. NO,2. NO,3,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,25
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,2,17872.272827056615,18093.48634788025,18128.879997403037,2. NO,2. NO,3,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",22.3,25
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,3,10711.393618763168,15973.665076628278,14250.286181652375,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",28,32
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,6,11406.47252876043,14119.71469761691,12995.606611379222,2. NO,2. NO,3,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79073,8,11406.47252876043,14119.71469761691,12995.606611379222,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",22,21
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,1,4931.457177809606,5893.277936199885,5503.21751291946,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",25,30
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,2,6173.427137243793,7523.760484661662,7073.939702837628,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",25,25
1. North Central,7. Benue,717. OJU,2. Rural,478,79074,7,6173.427137243793,7523.760484661662,7073.939702837628,2. NO,2. NO,1,2. NO,1. YES,2. WITHIN ONE MONTH,96. OTHER (SPECIFY),TAKE CARE OF HER NEW BORN BABY,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,1,6824.8059817994035,7411.101230635692,7309.288456296336,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",24,48
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,2,6974.1859032975235,7569.775101356741,7306.578821775821,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,1. In their own non-farm business,,,,,,,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,4,5696.107109132901,8494.478910989412,7578.020126559515,2. NO,2. NO,1,1. YES,,,,,,,,,"6. As an apprentice, trainee, intern",,4. CONSTRUCTION,998. DON'T KNOW,998. DON'T KNOW
1. North Central,7. Benue,717. OJU,2. Rural,478,79075,5,6065.736315337063,7508.58479583265,6910.806365747134,2. NO,2. NO,1,1. YES,,,,,,,,,"6. As an apprentice, trainee, intern",,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",998. DON'T KNOW,48
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,1,11254.925159271503,10859.478971521961,10836.064247902985,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",32,44
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,2,11645.973075127897,12640.528692172045,12201.025526071475,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",36,36
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,3,11645.973075127897,12640.528692172045,12201.025526071475,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",36,36
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,4,11645.973075127897,12640.528692172045,12201.025526071475,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",35,35
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,6,7133.811685149316,,9490.7219076813235,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",30,42
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,7,7133.811685149316,,9490.7219076813235,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",21,21
1. North Central,7. Benue,717. OJU,2. Rural,478,79080,8,7133.811685149316,10638.496038340003,9490.7219076813235,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",24,24
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,1,12595.77101966618,13677.82972198742,13489.925421722264,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),Because i had a moral lesson with  my children,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
1. North Central,7. Benue,717. OJU,2. Rural,478,79081,2,17540.679006282513,17757.788234535947,17792.525206780472,2. NO,1. YES,,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,1,8124.821555779971,11087.87537556506,10920.084001712741,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",15,30
1. North Central,7. Benue,717. OJU,2. Rural,478,79083,2,10420.690601675762,12700.041391721552,11940.747876242413,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",6,16
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,1,23084.475151592105,25067.581798044994,24723.20651974121,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",46,35
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,2,32147.088735605917,32544.988362152995,32608.651378205624,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",20,20
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,3,20516.969950637336,25397.31379987466,23375.366018169585,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",9,9
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,4,19266.722507900075,28732.038371405502,25632.17442024709,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",20,20
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,5,20516.969950637336,25397.31379987466,23375.366018169585,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",21,21
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79095,6,19266.722507900075,28732.038371405502,25632.17442024709,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",12,12
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,5,16806.3167202336,20804.012512120193,19147.74967736112,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",2,6
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,6,16806.3167202336,20804.012512120193,19147.74967736112,2. NO,2. NO,5,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",2,2
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,8,19323.355164688437,20973.5523010895,20244.315188846467,2. NO,2. NO,5,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",32,32
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,9,16806.3167202336,20804.012512120193,19147.74967736112,2. NO,2. NO,5,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",6,4
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,13,12625.748567520392,18828.500392890768,16797.116859713376,2. NO,2. NO,5,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,14,12625.748567520392,18828.500392890768,16797.116859713376,2. NO,2. NO,5,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,"1. AGRICULTURE, HUNTING, FISHING",5,2
1. North Central,7. Benue,718. OKPOKWU,2. Rural,504,79096,18,13474.824798291602,,18110.70159455095,2. NO,2. NO,5,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",72,72
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,1,3192.667107643839,3815.3580056971473,3562.829586915626,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",24,24
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79097,2,3996.7289691175097,4870.946204959048,4579.72842435528,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",12,12
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,1,1757.8697665050931,2013.1602328354752,1953.6337683480385,2. NO,2. NO,101,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),The rain  was too much,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,3,1622.6832214027916,2008.6686811410955,1848.753218584038,2. NO,2. NO,101,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,4,1523.8013907614943,2272.411408417187,2027.2437625962768,2. NO,2. NO,101,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,101,2085.8209560639166,,,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),The rain was much,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,102,1666.1955339768494,,,2. NO,2. NO,101,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79099,103,1622.6832214027916,,,2. NO,2. NO,101,2. NO,2. NO,,,,,2. NO,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79108,3,3076.0470227544683,3338.7386694753495,3222.6528433401227,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,18
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79108,6,2675.364607757897,3311.7499628737914,3048.092729523878,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",48,48
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1228,79108,9,2675.364607757897,3311.7499628737914,3048.092729523878,2. NO,2. NO,6,2. NO,2. NO,,,,,1. YES,96. OTHER (SPECIFY),learning tailoring.,,,,,
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,5,22552.57139314687,27917.12100002539,25694.564657162384,2. NO,2. NO,101,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",20,30
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,6,22552.57139314687,27917.12100002539,25694.564657162384,2. NO,2. NO,101,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",40,40
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,7,21178.28002462266,31582.701938968774,28175.283434397115,2. NO,2. NO,101,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",45,45
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,8,21178.28002462266,31582.701938968774,28175.283434397115,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",20,20
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,13,22552.57139314687,27917.12100002539,25694.564657162384,2. NO,2. NO,101,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",42,42
1. North Central,7. Benue,719. OTUKPO,2. Rural,270,79110,101,23157.31945664076,,,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",42,998. DON'T KNOW
