zone,state,lga,sector,ea,hhid,interviewer_id,wt_round4,wt_r4panel,s2q0a,s2q0b,s5q1c,s5q1d,s5q1e,filter3,s5q2a,s5q2b,s5q2c__1,s5q2c__2,s5q2c__3,s5q2c__4,s5q2c__5,s5q2c__6,s5q2c__96,s5q2c_os,s5q2d,s5q2e,s5q2f__1,s5q2f__2,s5q2f__3,s5q2f__4,s5q2f__5,s5q2f__6,s5q2f__7,s5q2f__8,s5q2f__9,s5q2f__96,s5q2f_os,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q5b,s5q5c,s5q21,s5q22,s5q23,s5bq1,s5bq2__9,s5bq2__1,s5bq2__2,s5bq2__3,s5bq2__4,s5bq2__5,s5bq2__6,s5bq2__7,s5bq2__8,s5bq2__96,s5bq2_os,s5bq3__1,s5bq3__2,s5bq3__3,s5bq3__4,s5bq3__5,s5bq3__6,s5bq3__7,s5bq3__8,s5bq3__9,s5bq3__10,s5bq3__11,s5bq3__12,s5bq3__13,s5bq3__96,s5bq3_os,s5bq4_1,s5bq4_2,s5bq4_3,s5bq4_4,s5bq5,s5bq6,s5bq7__1,s5bq7__2,s5bq7__3,s5bq7__4,s5bq7__5,s5bq7__6,s5bq7__7,s5bq7__8,s5bq7__9,s5bq7__10,s5bq7__11,s5bq7__12,s5bq7__13,s5bq7__96,s5bq7_os,s5bq8_1,s5bq8_2,s5bq8_3,s5bq9,s5bq10,s5bq11,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq10,s6aq11,s6bq1,s6bq2__1,s6bq2__2,s6bq2__3,s6bq2__4,s6bq2__5,s6bq3,s6bq4__1,s6bq4__3,s6bq4__4,s6bq4__7,s6bq4__96,s6bq4_os,s6bq6,s6bq7,s6bq8,s6bq9,s6bq10,s6bq11,s6bq12,s6bq13,s6bq13_os,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s9q1,s9q3__1,s9q3__2,s9q3__3,s9q3__4,s9q3__5,s9q3__6,s9q3__7,s9q3__8,s9q3__96,s9q3_os,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169044,2,65399.397176454535,70455.4161345525,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,,,,3. WITHIN THE NEXT 2 TO 3 MONTHS,1. YES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,,,2. Somewhat worried,1. YES,1. YES,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,4. CONSTRUCTION,1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,1. YES,,5. Much lower,1. YES,4. Lower,1. YES,0,0,1,0,0,2. NO,,,,,,,1. YES,4. Lower,1. YES,2. SALES DUE TO CORONAVIRUS,1. YES,3. Worse than normal,4. Lower,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,4. Not worried at all,0,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-08-18T13:31:29
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169047,2,26791.58710787062,30169.630652276628,2. NO,2. NO,2. Most of the time,2. Most of the time,0. NONE,2. NO,,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,1. YES,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,1. Much higher,1. YES,2. Higher,1. YES,0,0,1,0,0,1. YES,1,0,1,0,0,,1. YES,2. Higher,1. YES,1. USUAL SALE,1. YES,2. Normal,4. Lower,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-08-17T14:50:03
4. South East,16. Imo,1610. ISU,2. Rural,66,169054,2,7163.23232949937,8161.037089352957,2. NO,2. NO,4. Some of the time,4. Some of the time,3. THREE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,1. YES,2. NO,2. THE SAME,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,1. YES,,5. Much lower,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,4. Not worried at all,0,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-08-10T17:28:28
4. South East,16. Imo,1610. ISU,2. Rural,66,169059,6,8282.34909466209,9506.002042534623,2. NO,2. NO,1. All of the time,2. Most of the time,2. TWO,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,2. NO,1. YES,3. HIGHER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,2. NO,2. PREVIOUS BUSINESS / JOB CLOSED FOR ANOTHER REASON,,4. CONSTRUCTION,4. As an employee for a private company or another individual (not household member),,2. NO,2. Partial payment,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,18,2. Same number of hours,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,1. Much higher,1. YES,1. Much higher,2. NO,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,3. Not much of a threat,0,1,1,0,1,1,0,0,0,1,0,1,1. COMPLETE,2,1. ENGLISH,,,1,2020-08-11T18:27:06
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,2,8389.64967678575,8760.81957409295,2. NO,2. NO,1. All of the time,1. All of the time,4. FOUR,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,1,1,1,1,1,0,,1. YES,,1. YES,98. DON'T KNOW,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,1. Much higher,1. YES,1. Much higher,1. YES,0,1,1,0,0,2. NO,,,,,,,1. YES,4. Lower,1. YES,1. USUAL SALE,1. YES,2. Normal,5. Much lower,,,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,1,0,0,0,0,0,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-18T12:33:41
4. South East,16. Imo,1610. ISU,2. Rural,490,169063,2,12592.29538799554,14187.083637014748,1. YES,2. NO,6. I have not been in public during the last 7 days,6. I have not been in public during the last 7 days,0. NONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,,1. YES,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,,,,4. WITHIN THE NEXT 4 TO 6 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,3. Not much of a threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-08-15T17:37:51
4. South East,16. Imo,1610. ISU,2. Rural,490,169066,15,5417.14793744245,6047.652740619089,2. NO,2. NO,1. All of the time,1. All of the time,4. FOUR,1. YES,1. YES,1. YES,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,0,1,0,1,1,1,0,,2. NO,1. YES,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,1. Much higher,1. YES,2. Higher,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,3. Not too worried,0,0,0,0,0,1,0,0,0,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-08-13T19:55:31
4. South East,16. Imo,1610. ISU,2. Rural,490,169067,2,8353.032042752864,9048.303285739126,1. YES,1. YES,1. All of the time,1. All of the time,2. TWO,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,0,0,1,0,1,0,,2. NO,1. YES,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,2. NO,,,,,,1. YES,1. APPLY TO PROSPECTIVE EMPLOYERS,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,4. Lower,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,401,5. IGBO,,,1,2020-08-21T09:59:00
4. South East,16. Imo,1610. ISU,2. Rural,490,169071,6,9197.845968707134,10440.593893620455,2. NO,2. NO,1. All of the time,4. Some of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,98. DON'T KNOW,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,1,2020-08-21T10:24:23
4. South East,16. Imo,1610. ISU,2. Rural,776,169073,15,11420.98956327801,11450.384094493365,2. NO,2. NO,2. Most of the time,2. Most of the time,3. THREE,1. YES,2. NO,,,,,,,,,,2. NO,"2. YES, WAS PLANNING TO GO BUT DID NOT",1,0,0,0,0,0,0,0,0,0,,2. NO,,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,1. YES,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,6. ILL / QUARANTINED DUE TO CORONAVIRUS,,1. YES,,2. Higher,1. YES,4. Lower,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,3. Not too worried,1,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-08-10T19:42:51
4. South East,16. Imo,1610. ISU,2. Rural,776,169076,6,9332.609127128851,9602.546763394248,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,2. NO,,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,1. YES,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,2. Higher,1. YES,2. Higher,1. YES,0,0,1,0,0,1. YES,1,0,1,1,0,,1. YES,2. Higher,1. YES,2. SALES DUE TO CORONAVIRUS,1. YES,2. Normal,2. Higher,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-20T10:27:11
4. South East,16. Imo,1610. ISU,2. Rural,776,169078,15,12846.72475386402,13938.231051472007,2. NO,2. NO,4. Some of the time,1. All of the time,2. TWO,1. YES,1. YES,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,1. YES,2. NO,1. LOWER,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,3. WITHIN THE NEXT 2 TO 3 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,2. Somewhat worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,8. NEED TO TAKE CARE OF A FAMILY MEMBER,,1. YES,,2. Higher,1. YES,4. Lower,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. Somewhat worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-08-22T09:02:56
4. South East,16. Imo,1610. ISU,2. Rural,776,169079,2,8265.339143962283,8486.74836902182,1. YES,2. NO,2. Most of the time,1. All of the time,2. TWO,1. YES,1. YES,1. YES,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,2. WITHIN ONE MONTH,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,1. YES,5,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,2. Higher,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,5. IGBO,,,0,2020-08-20T18:37:53
4. South East,16. Imo,1610. ISU,2. Rural,776,169083,6,13585.337136277903,16287.61329507175,2. NO,2. NO,1. All of the time,4. Some of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),make more money,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,98. DON'T KNOW,1. YES,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,5. IGBO,,,0,2020-08-13T11:25:25
4. South East,16. Imo,1611. MBAITOLI,2. Rural,1878,169085,15,44469.19548011618,,2. NO,1. YES,1. All of the time,1. All of the time,5. FIVE OR MORE,2. NO,,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,1. YES,1. YES,2. THE SAME,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,7. NEED TO CARE FOR ILL RELATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,3. Not too worried,0,1,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,401,5. IGBO,,,0,2020-08-20T08:16:29
4. South East,16. Imo,1611. MBAITOLI,2. Rural,1878,169088,11,15662.750715033337,17294.771053724242,2. NO,2. NO,1. All of the time,1. All of the time,4. FOUR,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,1,1,1,1,1,0,0,,1. YES,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,2. A moderate threat,0,1,1,1,1,1,1,0,0,1,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-17T15:35:00
4. South East,16. Imo,1611. MBAITOLI,2. Rural,1878,169091,2,17576.662002093824,19603.971129968897,2. NO,2. NO,1. All of the time,4. Some of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,"2. YES, WAS PLANNING TO GO BUT DID NOT",1,0,0,0,0,0,0,0,0,0,,1. YES,1. YES,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,2. NO,1. YES,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,2. NO,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,2. Higher,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-08-20T17:15:59
4. South East,16. Imo,1611. MBAITOLI,2. Rural,1878,169095,6,17546.174040617476,17606.17575297375,2. NO,2. NO,4. Some of the time,1. All of the time,3. THREE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,,2. NO,,,,,,,,,,,,,,,,,,,4. Not worried at all,1. YES,1. YES,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,2. Higher,2. NO,,1. YES,0,1,1,0,0,1. YES,1,1,1,0,0,,1. YES,4. Lower,1. YES,2. SALES DUE TO CORONAVIRUS,1. YES,2. Normal,4. Lower,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,0,0,0,0,0,0,0,0,1,it can never get to my family,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-08-14T12:37:22
4. South East,16. Imo,1615. NWANGELE,2. Rural,220,169101,15,8233.773797821776,9220.590769523866,2. NO,2. NO,2. Most of the time,2. Most of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,1. YES,2. NO,2. THE SAME,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,4. Lower,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,2. Somewhat worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-16T16:23:35
