zone,state,lga,sector,ea,hhid,shock_cd,shock_cd_os,s10q1,s10q3__1,s10q3__6,s10q3__7,s10q3__8,s10q3__9,s10q3__11,s10q3__12,s10q3__13,s10q3__14,s10q3__15,s10q3__16,s10q3__17,s10q3__18,s10q3__19,s10q3__20,s10q3__21,s10q3__96,s10q3_os
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69022,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69022,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,604. NEMBE,1. Urban,858,69023,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,12. Increase in price of major food items consumed,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69027,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,10. Increase in price of farming/business inputs,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69028,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,12. Increase in price of major food items consumed,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,606. SAGBAMA,2. Rural,790,69029,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,5. Job loss,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,7. Theft/looting of cash and other property,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PLANTING SMALL AREA DUE TO LACK OF MONEY
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69038,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,11. Fall in the price of farming/business output,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69040,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,7. Theft/looting of cash and other property,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5. South South,6. Bayelsa,608. YENAGOA,2. Rural,1288,69047,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,relied on farm food
5. South South,6. Bayelsa,601. BRASS,2. Rural,16,69050,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70011,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70012,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,"1. Illness, injury, or death of income earning member of household",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70018,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,10. Increase in price of farming/business inputs,,1. YES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1. North Central,7. Benue,708. GWER-WEST,2. Rural,754,70020,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,"1. Illness, injury, or death of income earning member of household",,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,11. Fall in the price of farming/business output,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,relying on farm produce
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70063,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,"1. Illness, injury, or death of income earning member of household",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1. North Central,7. Benue,711. KWANDE,2. Rural,2532,70069,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,12. Increase in price of major food items consumed,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70074,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,5. Job loss,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,6. Nonfarm business closure,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,10. Increase in price of farming/business inputs,,1. YES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,12. Increase in price of major food items consumed,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,709. KATSINA-ALA,2. Rural,1226,70080,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,718. OKPOKWU,2. Rural,1640,70128,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Reduce the number of people that work for me
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,715. OGBADIBO,2. Rural,780,70137,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,10. Increase in price of farming/business inputs,,1. YES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70151,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,6. Nonfarm business closure,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
1. North Central,7. Benue,713. MAKURDI,2. Rural,304,70155,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
