zone,state,lga,sector,ea,hhid,source_cd,source_cd_os,s7q1,s7q2
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29109,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,100,29112,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29122,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29124,99. TOTAL HOUSEHOLD INCOME,,,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,9. ASSISTANCE FROM THE GOVERNMENT,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29126,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,2. NON-FARM FAMILY BUSINESS,,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29127,99. TOTAL HOUSEHOLD INCOME,,,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,2. NON-FARM FAMILY BUSINESS,,1. YES,2. Stayed the same
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29128,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,9. ASSISTANCE FROM THE GOVERNMENT,,1. YES,1. Increased
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29130,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29131,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,8. PENSION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,212. MAYO-BELWA,2. Rural,1254,29132,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,8. PENSION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29133,99. TOTAL HOUSEHOLD INCOME,,,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,8. PENSION,,1. YES,2. Stayed the same
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29135,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,8. PENSION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29136,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,2. NON-FARM FAMILY BUSINESS,,1. YES,2. Stayed the same
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,8. PENSION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29138,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,8. PENSION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29139,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,8. PENSION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29140,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,4. REMITTANCES FROM ABROAD,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,2. Stayed the same
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,1. Increased
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,8. PENSION,,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,9. ASSISTANCE FROM THE GOVERNMENT,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,1. YES,3. Reduced
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,96. OTHER (SPECIFY),,2. NO,
2. North East,2. Adamawa,213. MICHIKA,1. Urban,1010,29143,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
